Name,Latitude,Longitude
Pedicularis_anas,31.1961111111,97.3202777778
Pedicularis_anas,30.6119444444,97.6069444444
Pedicularis_anas,31.2861111111,97.5252777778
Pedicularis_anas,31.1466666667,98.1736111111
Pedicularis_anas,31.2013888889,98.0836111111
Pedicularis_anas,30.4522222222,98.4955555556
Pedicularis_anas,30.9069444444,98.1936111111
Pedicularis_anas,31.4975,98.0277777778
Pedicularis_anas,31.6844444444,97.9497222222
Pedicularis_anas,31.5747222222,98.0552777778
Pedicularis_anas,31.5052777778,98.2894444444
Pedicularis_anas,29.4738888889,100.219722222
Pedicularis_anas,30.175,100.011111111
Pedicularis_anas,30.0147222222,100.862222222
Pedicularis_anas,30.0791666667,101.8075
Pedicularis_anas,30.0675,101.8025
Pedicularis_anas,32.2341666667,102.606666667
Pedicularis_angustiloba,31.1661111111,97.3005555556
Pedicularis_angustiloba,29.2188888889,101.516388889
Pedicularis_angustiloba,32.5166666667,98.0291666667
Pedicularis_angustiloba,31.9994444444,99.0661111111
Pedicularis_angustiloba,31.8063888889,99.4319444444
Pedicularis_anthemifolia,31.725,100.744444444
Pedicularis_anthemifolia,30.6838888889,97.2619444444
Pedicularis_anthemifolia,30.1588888889,97.3155555556
Pedicularis_anthemifolia,30.1711111111,97.3336111111
Pedicularis_anthemifolia,31.8,92.8283333333
Pedicularis_anthemifolia,32.3988888889,98.1977777778
Pedicularis_anthemifolia,30.815,95.1530555556
Pedicularis_anthemifolia,31.46,96.7247222222
Pedicularis_armata,33.2975,100.431944444
Pedicularis_armata,32.9222222222,97.2916666667
Pedicularis_armata,32.075,97.0386111111
Pedicularis_armata,32.2505555556,100.062222222
Pedicularis_armata,32.2563888889,101.194166667
Pedicularis_armata,32.2338888889,101.219722222
Pedicularis_armata,32.3452777778,101.415277778
Pedicularis_armata,32.0825,101.079722222
Pedicularis_armata,33.2463888889,101.480555556
Pedicularis_armata,32.7241666667,102.109166667
Pedicularis_armata,33.1086111111,102.631944444
Pedicularis_armata,33.6438888889,103.507777778
Pedicularis_armata,34.0211111111,102.736666667
Pedicularis_armata,34.1480555556,102.572777778
Pedicularis_axillaris,28.7463888889,100.269166667
Pedicularis_axillaris,29.1411111111,99.9283333333
Pedicularis_axillaris,29.1030555556,99.6319444444
Pedicularis_axillaris,27.6244444444,99.6433333333
Pedicularis_axillaris,30.6838888889,97.2619444444
Pedicularis_axillaris,29.0758333333,99.9188888889
Pedicularis_axillaris,29.1025,99.6708333333
Pedicularis_axillaris,28.8675,99.2458333333
Pedicularis_axillaris,28.9163888889,102.216388889
Pedicularis_axillaris,29.2188888889,101.516388889
Pedicularis_axillaris,27.6913888889,100.025
Pedicularis_axillaris,27.3777777778,100.076666667
Pedicularis_axillaris,27.4625,99.8975
Pedicularis_axillaris,27.7472222222,101.461944444
Pedicularis_axillaris,27.3944444444,100.1
Pedicularis_batangensis,31.5977777778,100.367222222
Pedicularis_batangensis,30.6527777778,100.216111111
Pedicularis_batangensis,31.1694444444,100.301111111
Pedicularis_batangensis,32.4883333333,100.764722222
Pedicularis_bella,29.6111111111,94.6516666667
Pedicularis_bidentata,31.8291666667,99.7277777778
Pedicularis_bidentata,32.5769444444,100.546666667
Pedicularis_bidentata,32.3433333333,100.768888889
Pedicularis_bidentata,32.0825,101.079722222
Pedicularis_bidentata,32.7241666667,102.109166667
Pedicularis_bidentata,32.3316666667,102.449444444
Pedicularis_bidentata,34.1480555556,102.572777778
Pedicularis_bidentata,34.0211111111,102.736666667
Pedicularis_bomiensis,29.5575,97.9122222222
Pedicularis_bomiensis,30.8316666667,95.3525
Pedicularis_bomiensis,30.8458333333,95.3680555556
Pedicularis_bomiensis,31.4058333333,97.4719444444
Pedicularis_bomiensis,31.4830555556,98.2775
Pedicularis_brachycrania,31.4583333333,99.9777777778
Pedicularis_brevilabris,28.5938888889,99.8469444444
Pedicularis_brevilabris,31.1841666667,96.6052777778
Pedicularis_brevilabris,28.9402777778,102.103055556
Pedicularis_brevilabris,29.2136111111,101.538611111
Pedicularis_brevilabris,32.5769444444,100.546666667
Pedicularis_brevilabris,29.9969444444,100.879444444
Pedicularis_brevilabris,30.2525,100.258333333
Pedicularis_brevilabris,30.4702777778,101.658888889
Pedicularis_brevilabris,31.4058333333,97.4719444444
Pedicularis_brevilabris,30.9611111111,98.3069444444
Pedicularis_brevilabris,31.4830555556,98.2775
Pedicularis_brevilabris,27.0913888889,102.99
Pedicularis_brevilabris,30.9125,102.890555556
Pedicularis_cephalantha,29.2766666667,101.471388889
Pedicularis_cephalantha,27.4758333333,99.8841666667
Pedicularis_cernua,27.9108333333,98.8036111111
